N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
0.2991202346041056,0.4020270270270271,0.21819526627218935,0.5357142857142857,0.7365269461077845,0.6171875,0.6034543531899894,0.8175182481751828,0.020783373301358918,0.4497607655502393,0.14013071895424836,1.0,0.6171875000000001,0.0
0.28152492668621704,0.2736486486486487,0.4223372781065089,0.6696428571428565,0.5808383233532934,0.53125,0.638702855128657,0.9635036496350367,0.011990407673860913,0.5885167464114833,0.16784313725490196,1.0,0.5312500000000001,1.0
0.2991202346041056,0.4763513513513514,0.5776627218934911,0.4642857142857143,0.49700598802395224,0.5546875,0.6739513570673246,0.6423357664233579,0.027977617905675472,0.5598086124401914,0.14588235294117646,1.0,0.5546875000000001,0.0
0.4662756598240469,0.43581081081081086,0.7655325443786982,0.4107142857142853,0.784431137724551,0.484375,0.638702855128657,0.7445255474452557,0.020783373301358918,0.44497607655502397,0.19137254901960785,1.0,0.4843750000000001,0.5
0.41055718475073316,0.0,0.8276627218934911,0.48214285714285676,0.2694610778443115,0.44531250000000006,0.7021501586182587,1.0,0.01598721023181455,0.569377990430622,0.15320261437908497,1.0,0.44531250000000017,0.0
0.5747800586510264,0.4222972972972973,0.9060650887573964,0.4017857142857141,0.9161676646706589,0.5078125,0.7303489601691928,0.5693430656934308,0.013589128697042369,0.5119617224880383,0.14901960784313725,1.0,0.5078125000000001,0.0
0.6686217008797654,0.46283783783783783,0.7344674556213018,0.4642857142857143,0.5209580838323354,0.44531250000000006,0.6739513570673246,0.30656934306569356,0.018385291766586733,0.5598086124401914,0.3994771241830065,1.0,0.44531250000000017,0.5
0.501466275659824,0.32770270270270274,0.9534023668639053,0.4017857142857141,0.7964071856287426,0.3984375,0.6951004582305252,0.33576642335766427,0.022382094324540372,0.27272727272727276,0.39895424836601306,1.0,0.39843750000000006,0.0
0.5953079178885631,0.46283783783783783,0.5939349112426036,0.3392857142857139,0.6167664670658685,0.53125,0.772647162495594,0.3211678832116789,0.017585931254996006,0.22966507177033493,0.3984313725490196,0.641509433962264,0.5312500000000001,0.0
0.7038123167155426,0.4763513513513514,0.4371301775147929,0.446428571428571,0.6047904191616769,0.5078125,0.7303489601691928,0.36496350364963515,0.023181454836131102,0.34449760765550247,0.25516339869281046,1.0,0.5078125000000001,0.5
0.501466275659824,0.4763513513513514,0.7655325443786982,0.3839285714285716,0.473053892215569,0.46093749999999994,1.0,0.30656934306569356,0.05755395683453239,0.4545454545454546,0.1077124183006536,1.0,0.46093750000000017,0.0
0.4838709677419355,0.5506756756756758,0.0,0.6160714285714284,0.6766467065868266,0.5078125,1.0,0.30656934306569356,0.04076738609112711,0.4545454545454546,0.12130718954248368,0.8301886792452828,0.5078125000000001,0.0
0.7771260997067448,0.4763513513513514,0.0,0.5,0.8682634730538924,0.46093749999999994,1.0,0.2773722627737227,0.028776978417266192,0.30622009569377995,0.10562091503267974,1.0,0.46093750000000017,0.5
0.4838709677419355,0.4020270270270271,0.4992603550295858,0.5535714285714282,0.5928143712574852,0.421875,1.0,0.24817518248175185,0.020783373301358918,0.507177033492823,0.09830065359477123,1.0,0.4218750000000001,0.0
0.4662756598240469,0.2871621621621622,0.29659763313609466,0.45535714285714307,0.7724550898203594,0.53125,1.0,0.16058394160583944,0.049560351718625106,0.2966507177033493,0.11137254901960786,1.0,0.5312500000000001,0.0
0.9442815249266863,0.4222972972972973,0.5155325443786982,0.6249999999999996,0.4850299401197606,0.46093749999999994,0.9841381741275996,0.2335766423357665,0.0783373301358913,0.14354066985645936,0.10718954248366014,1.0,0.46093750000000017,0.5
0.5219941348973607,0.4763513513513514,0.5939349112426036,0.4374999999999998,0.6167664670658685,0.3984375,1.0,0.17518248175182485,0.06954436450839331,0.11961722488038279,0.08679738562091503,0.641509433962264,0.39843750000000006,0.0
0.5953079178885631,0.4763513513513514,0.5939349112426036,0.5803571428571427,0.7485029940119761,0.5703125,0.5329573493126543,0.36496350364963515,0.059952038369304565,0.7081339712918661,0.1338562091503268,0.5,0.5703125000000001,0.0
0.4838709677419355,0.43581081081081086,0.7655325443786982,0.42857142857142855,0.36526946107784436,0.703125,1.0,0.2919708029197081,0.056754596322941664,0.6411483253588517,0.1573856209150327,1.0,0.7031250000000001,0.0
0.6862170087976539,0.4763513513513514,0.35872781065088755,0.3660714285714284,0.49700598802395224,0.484375,0.9982375749030667,0.30656934306569356,0.028776978417266192,0.5980861244019139,0.10666666666666667,1.0,0.4843750000000001,0.5
0.4838709677419355,0.2533783783783784,0.5939349112426036,0.4196428571428573,0.8682634730538924,0.44531250000000006,1.0,0.2919708029197081,0.019984012789768187,0.6889952153110048,0.12130718954248368,1.0,0.44531250000000017,0.0
0.5953079178885631,0.3006756756756757,0.45340236686390534,0.32142857142857145,0.6167664670658685,0.3984375,1.0,0.2627737226277373,0.018385291766586733,0.5502392344497608,0.1045751633986928,0.641509433962264,0.39843750000000006,0.0
0.3724340175953079,0.0,0.5776627218934911,1.0,0.5568862275449102,0.35937500000000006,1.0,0.18978102189781026,0.013589128697042369,0.507177033492823,0.15163398692810456,1.0,0.35937500000000006,0.5
0.41055718475073316,0.2533783783783784,0.5939349112426036,0.6160714285714284,0.4850299401197606,0.2890625,1.0,0.9635036496350367,0.019984012789768187,0.5023923444976076,0.13647058823529412,1.0,0.2890625000000001,0.0
0.5219941348973607,0.4763513513513514,0.889792899408284,0.49107142857142877,0.5688622754491018,0.44531250000000006,1.0,1.0,0.01278976818545164,0.9090909090909091,0.1950326797385621,0.7735849056603774,0.44531250000000017,0.0
0.28152492668621704,0.3006756756756757,0.35872781065088755,0.4374999999999998,0.7245508982035929,0.53125,1.0,0.4379562043795621,0.008792965627498005,0.5980861244019139,0.19137254901960785,1.0,0.5312500000000001,0.5
0.5747800586510264,0.4763513513513514,0.7965976331360947,0.5892857142857139,0.377245508982036,0.5703125,1.0,0.5547445255474454,0.017585931254996006,0.6411483253588517,0.13281045751633988,1.0,0.5703125000000001,0.0
0.3196480938416422,0.46283783783783783,0.5303254437869822,0.47321428571428553,0.377245508982036,0.59375,1.0,0.42335766423357674,0.013589128697042369,0.8755980861244019,0.14483660130718953,0.5,0.5937500000000002,0.0
0.4838709677419355,0.4493243243243244,0.6708579881656804,0.45535714285714307,0.5209580838323354,0.703125,0.9841381741275996,0.5547445255474454,0.020783373301358918,0.6602870813397129,0.15947712418300655,1.0,0.7031250000000001,0.0
